,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var5(t)
263,0.39536938,0.2546857,0.0,0.0,0.16306776,0.21965748
264,0.39876303,0.21658406,0.0,0.0,0.21965748,0.23380491
265,0.4016081,0.1815622,0.0,0.0,0.23380491,0.25018615
266,0.405429,0.24386239,0.0,0.0,0.25018615,0.2702904
267,0.41026792,0.30886105,0.0,0.0,0.2702904,0.3104989
268,0.41527176,0.31939107,0.0,0.0,0.3104989,0.25241995
269,0.4202228,0.31601796,0.0,0.0,0.25241995,0.23901713
270,0.42448172,0.27183,0.0,0.0,0.23901713,0.2695458
271,0.42916238,0.29875633,0.0,0.0,0.2695458,0.30156365
272,0.43342772,0.27224064,0.0,0.0,0.30156365,0.29486224
273,0.4392392,0.3709559,0.0,0.0,0.29486224,0.3231571
274,0.44740102,0.52101606,0.0,0.0,0.3231571,0.33358154
275,0.45396134,0.41876632,0.0,0.0,0.33358154,0.34400597
276,0.46022052,0.3995395,0.0,0.0,0.34400597,0.33953834
277,0.4685091,0.52911156,0.0,0.0,0.33953834,0.3648548
278,0.47620806,0.49146453,0.0,0.0,0.3648548,0.4199553
279,0.48469123,0.54153347,0.0,0.0,0.4199553,0.450484
280,0.49373853,0.5775526,0.0,0.0,0.450484,0.43112436
281,0.50273114,0.57406217,0.0,0.0,0.43112436,0.33209234
282,0.5102661,0.48099318,0.0,0.0,0.33209234,0.43931496
283,0.518257,0.5101048,0.0,0.0,0.43931496,0.4906925
284,0.5257208,0.47644678,0.0,0.0,0.4906925,0.5204766
285,0.5352442,0.60795474,0.0,0.0,0.5204766,0.6135518
286,0.54748166,0.7812308,0.0,0.0,0.6135518,0.60536116
287,0.5590217,0.73670554,0.0,0.0,0.60536116,0.55323905
288,0.5718917,0.82162035,0.0,0.0,0.55323905,0.58749074
289,0.5841712,0.7839146,0.0,0.0,0.58749074,0.62621003
290,0.5974602,0.8483707,0.0,0.0,0.62621003,0.6500373
291,0.61012995,0.80883175,0.0,0.0,0.6500373,0.65376025
292,0.62366474,0.864063,0.0,0.0,0.65376025,0.7557707
293,0.6376966,0.89579976,0.0,0.0,0.7557707,0.87267315
294,0.6520659,0.9173438,0.0,0.0,0.87267315,0.8845868
295,0.66419125,0.7740739,0.0,0.0,0.8845868,0.8600149
296,0.6798551,1.0,0.0,0.0,0.8600149,0.798213
297,0.69365984,0.8812953,0.0,0.0,0.798213,0.78108716
298,0.7062995,0.8069106,0.0,0.0,0.78108716,0.8622487
299,0.71692896,0.6785704,0.025,0.053584605,0.8622487,0.9195831
300,0.7274144,0.669375,0.112500004,0.041450147,0.9195831,0.86746097
301,0.73836255,0.69891185,0.275,0.025143584,0.86746097,0.9717052
302,0.749573,0.71566015,0.375,0.013563861,0.9717052,0.9307521
303,0.7624099,0.81950843,0.475,0.010857281,0.9307521,0.8510797
304,0.77192605,0.6074855,0.3375,0.0067599993,0.8510797,0.81533885
305,0.7808087,0.5670373,0.0625,0.005776961,0.81533885,0.8428891
306,0.7894478,0.55149156,0.1,0.011778396,0.8428891,1.0
